Scan_ID,Subj_ID,Gender,Age1,Age2,Group,SubGrp,A_NoDoub_mean_abs,O_CenSpat_mean_abs,C_InconCon_mean_abs,A_NoDoub_mean_rate,O_CenSpat_mean_rate,C_InconCon_mean_rate,RT_Con_No_mean,RT_Con_Cent_mean,RT_Con_Doub_mean,RT_Con_Spat_mean,RT_Incon_No_mean,RT_Incon_Cent_mean,RT_Incon_Doub_mean,RT_Incon_Spat_mean,ACC_Con_No,ACC_Con_Cent,ACC_Con_Doub,ACC_Con_Spat,ACC_Incon_No,ACC_Incon_Cent,ACC_Incon_Doub,ACC_Incon_Spat,ACC_mean,NoRespFreq,CleanFreq,RT_NoCue_mean,RT_CentCue_mean,RT_DoubCue_mean,RT_SpatCue_mean,RT_Cong_mean,RT_Incong_mean
16-10-23.1SWUA,54,1,20.59726027,21,SWUA,SWUA,94.8788,24.119,27.3523,121.5193,3.7359,54.5204,538.1875,470.6875,454.75,471.4375,593.6071,500.3125,487.4375,505.3958,1,1,1,1,0.9375,1,1,0.875,0.97656,0.015625,0.040625,558.7121,478.0725,463.8333,453.9534,480.9501,508.3024
16-11-20.4SWUA,112,2,20.61643836,21,SWUA,SWUA,43.1087,14.4865,65.8005,43.7958,26.4657,56.872,553.8036,501.9732,510.5625,492.625,631.6875,541.5,601.7232,546.625,0.9375,0.9375,1,1,1,1,0.9375,1,0.97656,0.015625,0.03125,574.5652,507.8352,531.4565,493.3487,514.2479,580.0484
16-09-23.3SWUA,11,2,20.63287671,21,SWUA,SWUA,113.0562,40.3551,21.5957,92.0982,40.9865,50.7708,655.8125,531.2232,519.6875,518.5,662.5268,555.5625,542.5,530.2143,1,0.9375,1,1,0.9375,1,0.875,0.9375,0.96094,0.03125,0.04375,631.8487,544.7491,518.7925,504.394,545.5543,567.15
16-11-05.1SWUA,73,2,20.69589041,21,SWUA,SWUA,50.8725,55.5921,29.1624,99.7613,48.3869,3.1941,525.7292,459.875,464.9554,433.8839,534.375,479.125,511.5,488.2679,0.875,1,0.9375,0.9375,1,1,1,0.9375,0.96094,0.026042,0.046875,522.675,498.7473,471.8025,443.1551,468.9182,498.0806
16-09-25.1SWUA,21,1,20.80821918,21,SWUA,SWUA,72.3713,-16.4209,2.5769,75.6223,-1.4249,-12.9953,627.125,489.9571,499.1875,537.131,563.4881,567.1786,545.7321,526.3839,1,0.75,1,0.8125,0.8125,0.9375,0.9375,0.9375,0.89844,0.0625,0.10938,592.6591,502.9211,520.2878,519.342,543.2907,545.8676
16-12-18.6SWUA,151,1,20.82739726,21,SWUA,SWUA,11.3107,33.8768,43.2948,48.2349,104.914,68.7554,541.6042,513.9375,511.4286,503.5833,580.0833,557.1696,564.0286,513.4286,0.875,0.75,0.875,0.875,0.6875,0.9375,0.75,0.875,0.82813,0.16667,0.175,538.0595,528.9566,526.7488,495.0798,518.6414,561.9362
16-09-24.6SWUA,18,1,20.86575342,21,SWUA,SWUA,41.4167,44.3904,29.9844,41.4167,44.3904,29.9844,549.5,578.4375,535.875,525.9375,644.5,551.6875,605.125,508.375,1,1,1,1,1,1,1,1,1,0,0.003125,592.1458,548,550.7292,503.6096,547.4375,577.4219
16-11-04.2SWUA,70,1,20.90136986,21,SWUA,SWUA,60.9811,19.2337,21.7486,63.9604,17.9776,60.3996,593.5625,505.75,519.375,474.6875,592.0179,537.4107,522.8304,531.5179,1,1,1,1,0.9375,0.9375,0.9375,0.9375,0.96875,0.026042,0.034375,567.7311,508.865,506.75,489.6313,523.3438,545.0923
16-09-23.4SWUA,12,2,20.94246575,21,SWUA,SWUA,68.0628,34.1657,15.7097,60.8003,1.046,25.68,604.625,542.4375,525.5625,505.875,588.2589,561.3125,553.6429,536.1875,1,1,1,0.9375,0.9375,1,0.9375,1,0.97656,0.03125,0.040625,585.2652,541.1667,517.2024,507.001,540.0968,555.8065
16-11-13.2SWUA,100,2,21.03835616,21,SWUA,SWUA,25.8355,35.9013,45.4103,16.1764,35.9013,53.0939,479.3125,466.3125,497.375,414.875,576.25,476,518.2321,471.25,1,1,1,1,1,1,0.9375,1,0.99219,0,0.025,506.3487,461.7708,480.5133,425.8696,459.2994,504.7097
16-11-19.1SWUA,104,1,21.1260274,21,SWUA,SWUA,75.7417,-6.1911,44.4249,79.0668,-6.1911,53.6838,544.3125,443.75,434.4375,461.1875,542.9732,520.9375,501.8929,511.8125,1,1,0.9375,1,0.9375,1,0.9375,1,0.97656,0.015625,0.03125,532.3913,458.3089,456.6496,464.5,468.3708,512.7957
16-09-30.5SWUA,33,2,21.17808219,21,SWUA,SWUA,38.0852,43.9629,42.7498,63.86,45.1198,77.9852,545.9375,472.5625,486.4375,438.1875,576.1458,530.4911,554.125,473.0893,1,1,1,1,0.875,0.9375,1,0.9375,0.96875,0.010417,0.034375,532.4792,486.2065,494.394,442.2437,485.7813,528.531
16-11-04.4SWUA,72,2,21.20273973,21,SWUA,SWUA,45.7171,-6.1136,31.1101,28.4946,-6.6694,57.425,692.0446,570.7679,595.75,571.4196,670.2143,630.0952,655.8125,575.875,0.9375,0.9375,0.9375,0.9375,0.9375,0.8125,0.875,1,0.92188,0.03125,0.08125,656.2421,580.1136,610.525,586.2273,599.9672,631.0774
16-11-06.5SWUA,84,2,21.39452055,21,SWUA,SWUA,33.375,12.0471,23.1979,33.375,24.7702,13.8485,581.875,564.9821,558.375,562.25,629.625,572.9375,583.6875,554.25,1,0.9375,1,1,1,1,1,1,0.99219,0.0052083,0.009375,588.6458,556.9013,555.2708,544.8542,561.9271,585.125
16-12-02.4SWUA,126,2,21.40821918,21,SWUA,SWUA,42.971,17.1993,14.687,32.0495,6.4961,14.8639,528.9375,506.9375,488.2232,485.25,566.875,507.75,502.5625,490.125,1,1,0.9375,1,1,1,1,0.9375,0.98438,0.010417,0.01875,530,488.9819,487.029,471.7826,502.5454,517.2324
16-12-16.3SWUA,140,2,21.43013699,21,SWUA,SWUA,43.9993,20.8942,33.3619,103.8759,13.8588,29.5141,661.625,624.4792,608.4375,579.0595,648.9583,665.9732,654.4375,637.375,1,0.875,1,0.8125,0.875,0.9375,1,0.9375,0.92969,0.072917,0.071875,666.5917,638.5208,622.5924,617.6266,618.8925,652.2545
16-10-29.3SWUA,60,2,21.52054795,22,SWUA,SWUA,58.7228,55.2754,31.8937,57.7379,34.0192,61.7082,594.9375,571.1875,518.5625,499.0625,592.2411,595.0625,600.3661,524.9464,1,1,1,1,0.9375,1,0.9375,0.9375,0.97656,0.010417,0.021875,592.3578,544.1667,533.635,488.8913,545.9375,577.8312
16-12-13.2SWUA,134,1,21.72328767,22,SWUA,SWUA,40.9484,25.9621,26.7989,52.2423,60.5776,17.0341,526.375,503.2679,517.3125,479.4286,570.75,531.4464,523.4375,517.5625,1,0.9375,1,0.9375,1,0.9375,1,1,0.97656,0.020833,0.0375,545.1359,499.4545,504.1875,473.4924,504.1043,530.9032
16-09-25.3SWUA,23,2,21.98082192,22,SWUA,SWUA,101.8729,4.3252,45.5646,129.8873,4.3252,28.2668,568.7083,466.1875,494.0625,467.1875,599.0625,526.6875,499.5,542.3125,0.875,1,1,1,1,1,1,1,0.98438,0.010417,0.01875,575.1591,497.0335,473.2862,492.7083,496.326,541.8906
16-07-22.1SWUA,203,2,22.14246575,22,SWUA,SWUA,44.7826,21.01,16.478,34.517,34.5136,26.0746,537.0625,532.1875,538.375,457.75,530,519.9375,490.1875,540.9375,1,1,0.9375,1,1,0.875,1,1,0.97656,0.020833,0.04375,526,502.7708,481.2174,481.7609,499.3,515.778
16-12-02.2SWUA,124,2,22.2,22,SWUA,SWUA,31.6072,52.1866,43.5968,32.0195,52.1866,54.2898,618.3125,603.1875,587,594.875,665.0179,681.125,598.4375,611.25,1,1,1,1,0.9375,1,1,1,0.99219,0,0.021875,619.558,619.7083,587.9508,567.5217,595.1683,638.7651
16-12-23.2SWUA,59,2,22.46027397,22,SWUA,SWUA,33.558,48.3545,64.5841,91.9758,101.7521,100.3898,626.9554,600.2857,573.4375,552.625,639.9405,687.3036,634.0625,637.4911,0.9375,0.9375,1,1,0.8125,0.9375,1,0.9375,0.94531,0.046875,0.0625,608.8615,622.8708,575.3034,574.5163,580.9849,645.569
