Scan_ID,Subj_ID,Gender,Age1,Age2,Group,SubGrp,A_NoDoub_mean_abs,O_CenSpat_mean_abs,C_InconCon_mean_abs,A_NoDoub_mean_rate,O_CenSpat_mean_rate,C_InconCon_mean_rate,RT_Con_No_mean,RT_Con_Cent_mean,RT_Con_Doub_mean,RT_Con_Spat_mean,RT_Incon_No_mean,RT_Incon_Cent_mean,RT_Incon_Doub_mean,RT_Incon_Spat_mean,ACC_Con_No,ACC_Con_Cent,ACC_Con_Doub,ACC_Con_Spat,ACC_Incon_No,ACC_Incon_Cent,ACC_Incon_Doub,ACC_Incon_Spat,ACC_mean,NoRespFreq,CleanFreq,RT_NoCue_mean,RT_CentCue_mean,RT_DoubCue_mean,RT_SpatCue_mean,RT_Cong_mean,RT_Incong_mean
16-12-31.1SWUC,126,2,9.76,10,SWUC,SWUC,82.7332,45.1568,80.8333,-3.4918,14.194,249.1911,692.8958,619.9792,559.1429,549.5,705.9911,683.9167,709.4333,619.2083,0.875,0.875,0.875,0.8125,0.9375,0.625,0.6875,0.625,0.78906,0.057292,0.19687,695.9496,636.6921,613.2164,591.5353,604.0153,684.8486
17-01-08.1SWUC,139,1,9.87,10,SWUC,SWUC,72.6649,57.7319,44.581,50.6016,88.6809,58.5483,637.6696,597,512.8125,531.125,648.5089,610.3036,579.7619,605.875,0.9375,0.875,0.9375,1,0.9375,0.9375,0.8125,1,0.92969,0.020833,0.075,610.9286,588.5797,538.2636,530.8478,567.55,612.131
16-08-01.1SWUC,24,1,9.94,10,SWUC,SWUC,44.8417,-35.1399,63.2566,115.1112,-134.3207,117.5449,590.6667,539.7738,638.25,561.3125,708.25,577.1429,613.15,642.6714,0.875,0.8125,0.8125,0.875,0.75,0.875,0.8125,0.75,0.82031,0.11979,0.18125,647,544.7798,602.1583,579.9197,576.3476,639.6042
16-12-24.3SWUC,115,1,9.95,10,SWUC,SWUC,60.0896,43.3775,72.7154,121.6239,127.7344,177.328,681.4821,623.3125,578.1429,612.4018,764.3625,714.6571,673.8958,638.8214,0.9375,0.875,0.9375,0.9375,0.8125,0.75,0.875,0.9375,0.88281,0.088542,0.10938,686.8455,649.3835,626.756,606.006,622.2776,694.993
16-12-25.1SWUC,117,1,9.95,10,SWUC,SWUC,12.587,33.2458,44.4355,41.3299,-9.4055,45.8689,637,646.5625,656.125,638.4286,698.5714,709.5,684.0625,665.6875,1,1,1,0.875,0.875,1,1,1,0.96875,0.026042,0.028125,661.087,673.6875,648.5,640.4417,644.7258,689.1613
16-07-29.1SWUC,16,2,10.04,10,SWUC,SWUC,25.7205,-8.3575,41.3033,28.1644,79.0399,139.8421,655.7292,582.3304,652.4643,647.3125,681.4464,657.3,665.2143,695.3452,0.875,0.9375,0.9375,1,0.9375,0.6875,0.875,0.8125,0.88281,0.083333,0.10625,661.0476,615.3889,635.3271,623.7464,635.0428,676.3462
16-12-25.3SWUC,119,1,10.06,10,SWUC,SWUC,64.4085,35.5969,47.9167,68.6911,33.8118,135.505,572.8929,533.5893,560.9375,511.3571,644.0714,578.2024,576.5417,581.875,0.9375,0.9375,0.875,0.9375,0.875,0.8125,0.875,0.75,0.875,0.11458,0.1375,606.9798,553.2136,542.5713,517.6167,536.2024,584.119
16-12-10.2SWUC,108,1,10.07,10,SWUC,SWUC,-3.1845,15.6687,26.2771,-57.7774,86.6011,244.6923,601.0536,640.5,626.3625,582.1696,671.3,593,655.0857,616.7917,0.9375,0.9375,0.8125,0.9375,0.625,0.5625,0.75,0.875,0.80469,0.13542,0.19062,611.8333,605.7717,615.0179,590.103,609.7694,636.0466
17-01-02.2SWUC,131,2,10.08,10,SWUC,SWUC,-1.5423,26.7446,13.4124,134.033,72.2107,-47.1274,675.4405,625.8571,720.8304,649.6625,739.3333,704.6786,674.5089,636.25,0.8125,0.8125,0.9375,0.8125,0.75,0.9375,0.9375,1,0.875,0.098958,0.125,693.1316,652.1571,694.6739,625.4125,671.691,685.1034
16-08-02.2SWUC,30,2,10.18,10,SWUC,SWUC,7.3964,-0.34146,43.1301,-98.4255,62.2363,4.6907,656.3125,622.9167,642.05,709.1905,756.0238,692.8125,711.0833,655.0417,0.875,0.6875,0.6875,0.8125,0.8125,0.875,0.6875,0.875,0.78906,0.20833,0.2125,693.593,678.6095,686.1966,678.951,662.1129,705.243
16-11-27.2SWUC,101,2,10.25,10,SWUC,SWUC,0.092951,46.4309,0.84375,179.7748,75.6179,46.497,677.6857,677.1696,657.1786,619.4375,685.6071,663.8571,648.3571,627.7738,0.75,0.9375,0.9375,0.875,0.6875,0.875,0.875,0.8125,0.84375,0.11458,0.14063,655.8894,657.1625,655.7964,610.7316,657.2503,658.0941
16-07-31.2SWUC,22,1,10.29,10,SWUC,SWUC,13.1346,4.8883,105.995,32.0679,21.485,135.6743,639.4464,627.0804,646.7946,630.4375,735.8125,744.3214,740.6964,747,0.9375,0.9375,0.9375,1,1,0.8125,0.9375,0.9375,0.9375,0.041667,0.065625,670.7946,671.7045,657.6601,666.8162,636.3297,742.3247
17-01-02.1SWUC,130,1,10.37,10,SWUC,SWUC,51.8295,55.8732,84.4042,67.7067,44.8221,105.5143,572.8214,503.9375,520.375,471.75,659.5357,625.5,562.7232,554.5536,0.9375,1,1,1,0.9375,1,0.9375,0.9375,0.96875,0.0052083,0.03125,586.9318,555.8804,535.1023,500.0072,516.3286,600.7328
16-08-05.1SWUC,36,2,10.41,10,SWUC,SWUC,26.8234,9.25,50.0328,42.6825,-18.5,62.0827,695.375,652.9821,627.8125,683.75,738.4375,705.3125,749.25,661.2857,1,0.9375,1,1,1,1,1,0.875,0.97656,0.020833,0.034375,704.3025,655.9545,677.4792,646.7045,665.2253,715.2581
16-07-28.1SWUC,15,2,10.65,11,SWUC,SWUC,38.4407,2.2708,24.1096,275.4812,183.4479,730.1129,744.5208,727.0833,754.8286,712.3571,802.2917,753.6333,700.8667,788,0.875,0.625,0.75,0.875,0.4375,0.5,0.5,0.5,0.63281,0.38542,0.39687,765.2219,733.4583,726.7813,731.1875,737.0417,761.1513
16-07-26.1SWUC,14,1,10.73,11,SWUC,SWUC,9.0973,68.6816,25.2897,27.9459,138.8182,28.8724,543.3333,604.2,536.9375,484.25,628.5667,586.4143,609.2125,466.4405,0.875,0.75,0.75,0.75,0.6875,0.75,0.8125,0.8125,0.77344,0.1875,0.21875,564.5868,570.3831,555.4896,501.7015,543.8234,569.1131
16-07-30.1SWUC,19,1,11.02,11,SWUC,SWUC,65.7922,-0.60203,37.676,75.1982,-56.0177,127.7274,720.3393,653.0417,648.8095,651.1429,716.9524,713,690.3482,717.5714,0.9375,0.875,0.8125,0.875,0.8125,0.75,0.9375,0.6875,0.83594,0.09375,0.14375,697.2532,647.8545,631.461,648.4566,670.1284,707.8043
16-07-23.1SWUC,5,2,11.19,11,SWUC,SWUC,55.2174,44.7805,62.3637,56.6181,86.9563,73.2187,559.4375,546.375,518.375,506.5625,635.4375,599.5714,577.5,571.9375,0.9375,1,1,1,1,0.875,1,1,0.97656,0.026042,0.040625,588.5707,562.5197,533.3533,517.7391,527.6073,589.971
16-11-20.1SWUC,94,2,11.66,12,SWUC,SWUC,18.96,3.6116,56.8262,124.2677,8.0437,33.8445,725.0833,670.625,659.25,697.625,765.3839,730.9375,747.5268,735.0714,0.75,0.9375,1,0.9375,0.9375,1,0.9375,0.875,0.92188,0.083333,0.08125,706.325,699.6417,687.365,696.03,686.9571,743.7833
16-08-02.1SWUC,28,1,11.76,12,SWUC,SWUC,59.5794,9.3542,79.3733,-6.0851,69.7152,79.7639,637.3929,586.9286,548.3,571.5625,689.375,651.7857,720.4643,601.9286,0.9375,0.875,0.8125,1,1,0.875,0.8125,0.9375,0.90625,0.0625,0.0875,664.0473,596.8333,604.468,587.4792,584.437,663.8103
16-11-20.2SWUC,95,2,11.81,12,SWUC,SWUC,54.9955,-14.9136,81.6941,118.4973,16.1523,87.7338,613.8333,516.6518,542.4911,540.2768,656.5357,621.3452,649.5625,617.5,0.8125,0.9375,0.9375,0.9375,0.9375,0.8125,1,0.875,0.90625,0.057292,0.09375,623.2935,538.9498,568.298,553.8634,551.2437,632.9378
16-11-27.1SWUC,100,2,11.92,12,SWUC,SWUC,25.8249,-9.7197,39.7041,68.7672,-12.6271,34.2211,578.2589,548.1429,517.6667,616.0833,648.5952,605.5714,623.9375,545.6429,0.9375,0.9375,0.875,0.875,0.8125,0.9375,1,0.9375,0.91406,0.0625,0.08125,590.3874,570.1255,564.5625,579.8452,560.8959,600.6
16-11-26.1SWUC,97,1,12.1,12,SWUC,SWUC,81.6981,-18.8822,66.8523,90.0828,38.9864,128.1815,577.125,502.1042,480.8333,517.75,610.7738,568.2619,557.75,584.375,1,0.875,0.875,1,0.8125,0.8125,0.8125,1,0.89844,0.041667,0.10938,576.2413,511.3194,494.5432,530.2016,513.9375,580.7898
